Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
18,University 159,3.79,Post-Doc,Lorimouth,M,N/A,0,0,3,Network Administrator,07/17,03/18,Data Analyst,04/22,10/25,Business Analyst,11/22,05/24,5.26,0
19,University 117,3.46,Bachelors,West Rachelside,N/A,1,0,N/A,4,Teaching Assistant,08/21,08/23,Product Manager,01/20,08/20,Network Administrator,11/20,11/21,4.07,0
20,University 7,3.91,High School,Patriciamouth,F,0,1,0,0,UX Designer,08/22,10/23,Software Engineer,08/21,10/21,Software Engineer,10/21,06/25,2.05,0
21,University 28,3.72,Phd,West Edward,N/A,N/A,1,1,0,Business Analyst,09/20,04/24,Research Assistant,07/19,07/21,Network Administrator,12/22,09/23,9.19,0
22,University 22,3.34,High School,Lake Laurafort,M,1,0,N/A,0,Business Analyst,01/17,03/20,Database Administrator,08/17,02/21,N/A,N/A,N/A,5.3,1
23,University 182,2.92,Masters,West Amy,F,1,0,1,3,Technical Support Specialist,10/20,03/24,N/A,N/A,N/A,N/A,N/A,N/A,6.37,0
24,University 128,3.22,Phd,South Garyton,M,0,1,N/A,0,Database Administrator,08/21,11/23,UX Designer,10/20,08/23,Product Manager,01/21,06/21,5.85,0
25,University 108,3.75,High School,Lake Roberttown,F,1,0,1,0,QA Analyst,09/17,05/19,QA Analyst,06/21,12/22,N/A,N/A,N/A,7.13,1
26,University 6,3.47,Phd,Port Jeremiah,M,N/A,1,0,3,Business Analyst,09/18,10/20,Teaching Assistant,12/17,01/18,N/A,N/A,N/A,5.47,0
27,University 132,3.3,Masters,East Lindaton,M,1,0,0,4,Back-end Developer,05/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,6.68,1
28,University 161,2.9,Bachelors,Currystad,N/A,0,0,1,3,Database Administrator,03/20,04/22,N/A,N/A,N/A,N/A,N/A,N/A,9.33,0
29,University 188,3.07,Bachelors,Port Nicholasborough,M,1,0,N/A,3,Web Developer,05/18,10/18,UX Designer,04/20,04/23,Web Developer,07/20,08/23,7.61,0
30,University 111,3.18,High School,North Josephside,M,1,1,1,0,Technical Support Specialist,09/16,11/16,Product Manager,08/17,05/20,QA Analyst,03/20,07/22,1.94,1
31,University 92,2.99,Phd,Port Sarah,M,1,1,N/A,3,Software Engineer,06/16,10/16,Applications Developer,11/17,03/19,N/A,N/A,N/A,4.4,1
32,University 198,3.16,Bachelors,Jasonville,N/A,1,0,1,4,Network Administrator,10/16,07/20,Data Scientist,05/22,08/22,N/A,N/A,N/A,4.6,0
33,University 15,3.85,Bachelors,Lake Amy,M,0,0,N/A,4,Product Manager,05/22,01/25,Database Administrator,09/20,05/22,Data Analyst,02/17,05/20,4.5,0
34,University 53,3.03,Masters,West Craig,F,N/A,0,0,3,Product Manager,01/18,03/19,Applications Developer,03/17,02/18,N/A,N/A,N/A,2.23,0
35,University 10,3.22,Some College,North Sean,F,1,0,0,3,Database Administrator,12/16,05/19,Data Analyst,08/16,01/20,N/A,N/A,N/A,8.52,1
36,University 151,3.6,Phd,Dianechester,M,N/A,0,0,0,IT Manager,01/23,10/24,Technical Support Specialist,02/17,08/19,Applications Developer,12/22,07/25,0.72,0
37,University 95,3.15,Masters,New Gwendolyn,F,N/A,1,N/A,0,System Analyst,12/18,06/21,Research Assistant,06/19,03/23,N/A,N/A,N/A,3.69,0
38,University 169,3.84,High School,Jonesbury,M,N/A,0,N/A,3,Research Assistant,06/16,02/20,Software Engineer,07/18,12/21,N/A,N/A,N/A,6.49,1
39,University 45,3.09,Some College,Ronaldport,M,1,1,N/A,3,Research Assistant,01/18,09/20,Front-end Developer,02/17,10/18,N/A,N/A,N/A,4.96,0
40,University 159,2.91,Bachelors,Port Justintown,N/A,N/A,1,0,3,System Analyst,07/19,12/20,Full-stack Developer,04/19,07/19,Database Administrator,03/22,04/25,1.19,0
41,University 56,3.52,Masters,West Tammie,N/A,1,0,N/A,3,Web Developer,05/20,04/23,Data Analyst,03/19,07/21,Research Assistant,07/22,11/24,6.26,0
42,University 189,3.96,Masters,Wrightland,M,N/A,0,1,0,Product Manager,06/16,02/17,Data Analyst,02/17,05/20,Technical Support Specialist,01/19,11/20,9.93,0
43,University 93,2.86,Post-Doc,Annaside,M,N/A,0,1,0,UX Designer,11/18,04/19,N/A,N/A,N/A,N/A,N/A,N/A,6.12,1
44,University 145,3.96,Some College,East Oliviafort,M,N/A,1,1,0,Software Engineer,10/18,05/21,Business Analyst,08/22,04/24,Web Developer,08/22,04/24,1.09,1
45,University 195,2.89,Some College,Mcneilview,M,1,0,1,3,Network Administrator,02/18,02/22,QA Analyst,10/17,02/21,Full-stack Developer,12/16,10/19,4.68,1
46,University 95,2.89,Masters,West Nicholasberg,M,1,1,0,0,Data Scientist,09/19,04/23,Developer,09/16,11/16,Back-end Developer,06/20,10/20,8.73,0
47,University 147,2.91,Bachelors,Harristown,M,0,1,1,0,Developer,01/17,11/17,Developer,02/22,08/22,IT Manager,02/21,10/23,4.18,0
48,University 73,3.26,Post-Doc,Lake Shannon,N/A,0,1,0,2,Data Scientist,03/21,04/23,N/A,N/A,N/A,N/A,N/A,N/A,0.54,0
49,University 170,2.93,Some College,Blevinschester,M,0,0,1,3,Applications Developer,08/18,01/21,Developer,05/18,04/22,Database Administrator,10/16,05/20,0.77,1
50,University 81,3.08,Bachelors,Timothyside,F,1,1,0,0,Developer,10/18,01/22,Data Scientist,02/22,01/26,N/A,N/A,N/A,1.44,0
51,University 147,3.53,Bachelors,New Amanda,M,0,0,1,3,Product Manager,04/16,10/16,N/A,N/A,N/A,N/A,N/A,N/A,5.2,0
52,University 22,2.94,Masters,Rachelland,F,0,1,1,0,Network Administrator,07/21,11/22,Developer,10/21,08/24,IT Manager,07/21,05/25,1.85,0
53,University 122,3.24,Phd,North Michelle,M,0,1,N/A,3,IT Manager,05/16,10/16,Back-end Developer,01/23,12/25,N/A,N/A,N/A,4.57,1
54,University 46,2.95,Masters,Bennetttown,M,0,0,0,4,Web Developer,03/21,06/21,Applications Developer,12/21,10/24,Research Assistant,07/19,04/23,7.63,0
55,University 184,3.1,Masters,Jacobsport,M,1,1,0,0,Database Administrator,06/16,12/17,Network Administrator,08/21,05/23,N/A,N/A,N/A,2.31,1
56,University 124,3.35,Bachelors,Richardport,F,1,0,N/A,3,System Analyst,12/22,12/23,N/A,N/A,N/A,N/A,N/A,N/A,1.64,0
57,University 152,3.64,Masters,Susanmouth,M,N/A,1,N/A,4,Business Analyst,06/22,01/25,Data Scientist,11/20,10/24,Back-end Developer,09/22,06/23,0.44,0
58,University 115,3.7,Phd,South Brad,M,0,1,N/A,4,System Analyst,09/22,02/23,N/A,N/A,N/A,N/A,N/A,N/A,8.32,1
59,University 173,2.93,Bachelors,Avilaview,M,1,1,1,0,QA Analyst,08/20,01/21,Teaching Assistant,10/18,06/22,Full-stack Developer,04/21,02/24,4.84,1
60,University 165,3.65,Masters,Hannahfurt,N/A,0,1,0,3,Developer,05/17,01/21,IT Manager,06/21,05/24,Product Manager,08/19,09/20,1.73,0
61,University 42,3.89,Bachelors,West Vanessa,M,N/A,1,1,2,Network Administrator,12/20,03/23,N/A,N/A,N/A,N/A,N/A,N/A,0.3,1
62,University 47,3.08,High School,New Nathan,M,N/A,0,0,3,Database Administrator,06/19,10/22,N/A,N/A,N/A,N/A,N/A,N/A,4.88,1
63,University 46,3.51,Phd,Fritzview,N/A,N/A,0,1,3,Web Developer,02/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A,1.61,0
64,University 137,3.66,Some College,Smithton,M,0,0,1,4,Network Administrator,03/23,12/23,QA Analyst,01/19,03/19,N/A,N/A,N/A,1.87,0
65,University 83,3.44,Masters,Kirstenville,M,0,1,N/A,3,Web Developer,09/22,01/23,Network Administrator,01/22,06/22,N/A,N/A,N/A,0.88,0
66,University 173,3.12,Some College,Port Toni,F,1,0,1,0,Front-end Developer,05/16,05/19,Back-end Developer,12/20,03/23,Product Manager,08/19,05/20,2.48,0
67,University 134,3.03,Masters,Williamsland,N/A,0,0,0,3,Research Assistant,10/16,12/18,Web Developer,01/21,09/22,IT Manager,11/18,04/20,8.91,0
68,University 51,3.84,Post-Doc,Jamesshire,N/A,0,1,1,3,System Analyst,06/17,12/19,Network Administrator,11/19,08/23,Data Analyst,10/20,05/23,7.72,0
69,University 150,3.61,Post-Doc,New Mary,N/A,0,1,1,4,System Analyst,09/17,05/18,UX Designer,08/19,02/20,Software Engineer,05/16,01/18,8.76,0
70,University 30,3.66,Bachelors,East Joannafurt,F,N/A,0,0,3,Web Developer,06/16,08/19,N/A,N/A,N/A,N/A,N/A,N/A,2.42,0
71,University 22,3.55,Phd,Kellyland,M,N/A,0,1,0,UX Designer,10/21,03/24,N/A,N/A,N/A,N/A,N/A,N/A,4.89,0
72,University 26,3.27,Bachelors,North Theresa,M,1,0,N/A,2,Teaching Assistant,08/17,07/20,Database Administrator,09/19,04/21,Technical Support Specialist,08/19,05/22,7.31,1
73,University 110,3.7,Bachelors,North Derek,F,N/A,1,N/A,3,Developer,09/20,04/21,System Analyst,06/18,03/22,QA Analyst,12/20,07/22,9.43,1
74,University 10,3.17,Bachelors,Lake Kelly,F,1,1,1,4,Data Scientist,08/22,05/26,QA Analyst,05/17,06/19,IT Manager,07/22,04/25,5.22,0
75,University 146,3.84,Masters,Ashleyton,M,1,1,N/A,4,Applications Developer,01/17,08/20,Full-stack Developer,02/18,08/21,Software Engineer,12/18,10/21,8.26,1
76,University 71,3.27,Bachelors,New Kathleenville,N/A,N/A,0,0,0,Technical Support Specialist,12/17,03/19,Front-end Developer,07/20,05/22,Database Administrator,08/20,02/24,8.98,0
77,University 147,3.37,Bachelors,Anthonystad,N/A,N/A,0,1,4,Database Administrator,03/17,10/18,UX Designer,02/18,04/20,UX Designer,01/18,06/21,3.09,0
78,University 72,3.51,Phd,East Melodyborough,M,N/A,0,1,3,IT Manager,03/17,05/19,Front-end Developer,09/21,03/24,N/A,N/A,N/A,3.81,1
79,University 152,3.76,Phd,Gaybury,F,1,0,0,0,Data Analyst,12/18,10/21,Back-end Developer,02/23,08/24,Technical Support Specialist,04/19,07/21,5.09,0
80,University 85,3.52,Post-Doc,Alvaradoside,M,1,1,1,4,Applications Developer,10/21,04/24,Network Administrator,02/22,06/25,N/A,N/A,N/A,6.94,0
81,University 28,3.77,Phd,Lake Ann,M,0,1,0,4,Data Analyst,11/19,11/21,Applications Developer,09/17,05/21,UX Designer,10/18,01/19,0.22,1
82,University 95,2.8,Phd,Stephenberg,N/A,1,1,1,0,Developer,11/18,05/20,System Analyst,12/22,02/26,Research Assistant,08/18,05/22,9.25,0
83,University 74,3.83,Post-Doc,Normanport,F,0,1,1,0,Front-end Developer,06/20,02/22,Research Assistant,09/22,04/25,Network Administrator,07/17,09/17,7.08,0
84,University 139,3.02,Post-Doc,South Randallborough,M,0,1,1,0,Full-stack Developer,12/16,02/18,Product Manager,06/22,04/26,Research Assistant,11/22,02/25,2.65,1
85,University 79,3.85,Some College,East Leslie,M,0,0,1,4,IT Manager,04/22,11/25,Network Administrator,02/23,12/23,Applications Developer,04/19,03/20,2.11,0
86,University 200,2.95,Post-Doc,Brownmouth,F,1,0,0,4,Back-end Developer,09/21,11/21,Applications Developer,10/21,01/22,IT Manager,10/19,04/20,0.1,0
87,University 117,3.38,Post-Doc,Kennedyburgh,M,N/A,0,0,0,Web Developer,02/21,02/23,Developer,12/19,03/20,Back-end Developer,09/16,05/17,2.34,0
88,University 141,3.21,Post-Doc,Richardsonmouth,N/A,N/A,0,N/A,0,Developer,04/18,06/19,Applications Developer,06/18,09/20,Business Analyst,03/23,05/25,7.69,0
89,University 56,3.17,Masters,Lake Kennethburgh,N/A,1,1,1,3,Research Assistant,12/19,10/21,N/A,N/A,N/A,N/A,N/A,N/A,0.12,0
90,University 67,3.6,Some College,Underwoodshire,M,1,1,0,3,QA Analyst,08/21,06/24,Software Engineer,01/22,08/23,Data Analyst,11/21,01/22,0.92,0
91,University 39,3.7,High School,Ponceside,M,0,0,0,3,Web Developer,01/18,07/20,Software Engineer,09/18,01/19,Research Assistant,08/21,04/25,8.24,1
92,University 28,3.57,Phd,Cervantesburgh,F,0,1,1,0,Back-end Developer,05/19,07/22,UX Designer,11/20,07/22,Data Scientist,06/22,11/23,9.64,1
93,University 159,3.72,High School,Zavalachester,N/A,0,0,0,3,Research Assistant,03/21,02/25,Developer,07/22,09/25,N/A,N/A,N/A,8.62,0
94,University 31,3.11,Post-Doc,South Maryfurt,M,N/A,0,0,0,Technical Support Specialist,03/18,08/19,Research Assistant,02/22,12/23,Front-end Developer,12/16,08/18,4.73,0
95,University 182,3.22,High School,Scottton,F,N/A,0,N/A,0,UX Designer,08/20,05/21,Business Analyst,02/18,08/20,Developer,08/20,09/23,1.44,0
96,University 127,3.05,Masters,Myersview,F,N/A,0,0,0,Network Administrator,05/17,07/19,Network Administrator,07/17,11/17,N/A,N/A,N/A,1.7,0
97,University 61,3.27,Masters,East Carrie,F,N/A,1,0,4,System Analyst,12/22,10/26,Software Engineer,12/21,11/23,N/A,N/A,N/A,8.15,0
98,University 85,3.57,Masters,Port Briannahaven,F,0,0,0,0,UX Designer,07/16,09/16,Network Administrator,05/22,11/24,Technical Support Specialist,01/21,09/23,3.79,0
99,University 140,3.94,Masters,Danielsville,M,N/A,0,N/A,0,Data Analyst,08/20,04/23,N/A,N/A,N/A,N/A,N/A,N/A,1.09,1
100,University 37,3.26,High School,South Thomasberg,M,N/A,0,0,3,Developer,08/20,08/21,Front-end Developer,12/16,11/18,Software Engineer,09/19,11/19,1.18,0
101,University 191,2.96,Some College,Davidtown,F,N/A,0,1,0,Research Assistant,03/22,09/25,Database Administrator,04/18,10/18,N/A,N/A,N/A,2.24,0
102,University 152,3.65,Some College,New Debbie,N/A,1,1,1,3,Front-end Developer,03/20,06/20,Full-stack Developer,04/21,06/23,N/A,N/A,N/A,6.95,0
103,University 26,3.29,Post-Doc,Kristaport,M,0,0,N/A,4,Technical Support Specialist,09/19,12/19,Product Manager,05/18,07/19,Applications Developer,08/21,04/22,0.72,0
104,University 99,3.63,Post-Doc,Janechester,M,N/A,0,0,2,Teaching Assistant,10/16,07/19,N/A,N/A,N/A,N/A,N/A,N/A,0.55,1
105,University 43,3.9,Some College,Barrside,F,0,1,N/A,0,Database Administrator,05/21,09/21,N/A,N/A,N/A,N/A,N/A,N/A,8.71,1
106,University 116,3.26,Some College,Matthewtown,N/A,N/A,1,1,2,Full-stack Developer,10/21,09/25,Data Analyst,07/18,04/20,Data Analyst,01/21,05/21,0.01,0
107,University 9,3.29,Post-Doc,Port Elizabeth,N/A,1,0,0,2,Data Analyst,08/18,01/20,N/A,N/A,N/A,N/A,N/A,N/A,7.44,0
108,University 15,3.42,Bachelors,North Hannah,N/A,1,0,N/A,4,Applications Developer,11/19,07/22,N/A,N/A,N/A,N/A,N/A,N/A,7.15,0
109,University 162,3.96,Bachelors,Lake Sara,M,N/A,1,0,4,Research Assistant,09/22,12/25,IT Manager,02/20,08/20,N/A,N/A,N/A,1.58,0
110,University 107,3.65,Masters,Taraville,F,0,0,1,0,QA Analyst,02/19,12/20,Back-end Developer,11/16,05/17,Database Administrator,07/19,03/22,9.3,0
111,University 101,3.77,Bachelors,Port Christopherton,N/A,1,0,0,4,UX Designer,01/18,12/21,Teaching Assistant,06/19,05/23,Applications Developer,12/21,05/22,4.46,0
112,University 6,3.9,Bachelors,Kruegerton,M,N/A,1,1,0,Product Manager,10/21,09/23,N/A,N/A,N/A,N/A,N/A,N/A,9.57,1
113,University 42,2.99,Post-Doc,Josephshire,M,1,1,N/A,0,Data Analyst,11/16,07/18,N/A,N/A,N/A,N/A,N/A,N/A,7.01,1
114,University 58,4.0,Masters,Riddletown,F,1,0,0,3,Data Analyst,04/21,11/22,Technical Support Specialist,06/22,06/25,N/A,N/A,N/A,6.24,1
115,University 176,3.35,Bachelors,Lake Donna,M,N/A,1,N/A,0,Teaching Assistant,05/18,03/20,N/A,N/A,N/A,N/A,N/A,N/A,9.75,1
116,University 4,2.9,Post-Doc,Lake Loriburgh,F,0,0,N/A,3,Front-end Developer,12/22,06/25,N/A,N/A,N/A,N/A,N/A,N/A,2.12,0
117,University 57,3.48,Masters,South Bruce,M,N/A,1,N/A,0,Full-stack Developer,04/17,12/18,Teaching Assistant,07/17,08/18,Back-end Developer,03/20,05/21,3.53,0
118,University 190,2.98,Masters,West Theresa,M,1,0,N/A,4,Developer,02/23,05/25,N/A,N/A,N/A,N/A,N/A,N/A,5.66,1
119,University 15,3.51,Bachelors,New Lisaton,M,1,1,N/A,4,Web Developer,01/20,08/22,Research Assistant,03/17,12/19,N/A,N/A,N/A,7.06,0
120,University 138,3.16,Bachelors,Yatestown,M,0,0,N/A,3,Database Administrator,02/20,06/22,Front-end Developer,11/16,12/18,Network Administrator,06/21,10/22,3.87,0
121,University 114,2.94,Bachelors,East Laura,N/A,1,0,N/A,3,IT Manager,03/19,09/22,Research Assistant,10/16,08/18,Network Administrator,08/20,02/21,3.3,0
122,University 192,3.48,Bachelors,Debbiehaven,M,0,1,N/A,3,Business Analyst,05/19,03/23,System Analyst,01/20,07/21,N/A,N/A,N/A,8.32,0
123,University 24,3.37,Masters,Smithfort,F,0,0,N/A,0,Software Engineer,02/18,07/19,Front-end Developer,06/19,11/20,Network Administrator,11/19,05/22,5.55,1
124,University 89,3.83,Phd,South Markton,F,1,1,0,4,Teaching Assistant,05/21,08/24,N/A,N/A,N/A,N/A,N/A,N/A,1.65,0
125,University 5,3.4,High School,East Kyle,F,1,0,0,0,Teaching Assistant,11/17,01/18,Full-stack Developer,09/19,07/21,N/A,N/A,N/A,2.17,1
126,University 97,3.77,High School,East Ericshire,F,0,1,N/A,0,Software Engineer,06/17,06/19,N/A,N/A,N/A,N/A,N/A,N/A,0.61,0
127,University 126,3.3,Bachelors,New Maryhaven,N/A,0,0,0,3,Front-end Developer,04/19,09/21,N/A,N/A,N/A,N/A,N/A,N/A,1.53,0
128,University 50,3.36,Some College,Port George,F,N/A,1,1,3,Developer,08/18,03/20,IT Manager,08/16,03/17,N/A,N/A,N/A,1.43,0
129,University 10,2.8,Post-Doc,Port Caleb,M,0,1,1,4,Software Engineer,10/19,06/20,Full-stack Developer,01/23,08/23,Front-end Developer,03/23,06/26,0.55,1
130,University 20,3.03,Bachelors,Port Breannaberg,M,1,1,1,0,Developer,07/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,9.49,1
131,University 68,3.36,Phd,New Russellland,F,N/A,0,N/A,0,Network Administrator,08/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,0.76,1
132,University 120,3.4,Masters,Lake Vincent,F,N/A,1,N/A,4,Technical Support Specialist,01/18,07/19,N/A,N/A,N/A,N/A,N/A,N/A,5.02,1
133,University 141,2.89,Some College,Kaylaville,F,N/A,0,N/A,0,QA Analyst,10/18,01/22,Data Scientist,11/20,06/24,Applications Developer,03/23,05/24,0.42,1
134,University 51,3.07,Some College,East Mike,M,0,0,0,0,Database Administrator,01/20,08/21,Business Analyst,03/17,06/20,Technical Support Specialist,09/16,11/17,3.6,1
135,University 194,3.63,Post-Doc,Stevensburgh,M,N/A,1,N/A,4,Full-stack Developer,05/22,03/26,Software Engineer,03/19,12/22,Front-end Developer,12/20,06/24,0.53,0
136,University 118,2.97,High School,West Benjamin,M,0,1,0,3,Applications Developer,11/19,12/22,Full-stack Developer,08/21,01/24,Database Administrator,03/23,02/24,4.61,0
137,University 76,2.89,High School,Port Davidberg,M,0,1,N/A,0,Teaching Assistant,07/19,02/20,Data Analyst,05/16,05/18,IT Manager,06/21,02/25,7.58,0
138,University 56,3.46,Bachelors,New Nathanton,M,N/A,1,N/A,0,Software Engineer,06/20,12/22,IT Manager,11/21,01/25,N/A,N/A,N/A,8.63,1
139,University 24,2.85,Masters,South Lisaburgh,F,1,1,1,0,QA Analyst,01/17,06/17,N/A,N/A,N/A,N/A,N/A,N/A,3.25,1
140,University 27,3.66,Post-Doc,Michaelborough,M,N/A,1,N/A,0,Network Administrator,10/22,07/23,Teaching Assistant,08/18,07/21,N/A,N/A,N/A,6.51,0
141,University 143,2.94,High School,Mccarthymouth,M,0,1,1,3,Network Administrator,02/19,10/21,N/A,N/A,N/A,N/A,N/A,N/A,9.85,0
142,University 136,3.94,Post-Doc,Christopherchester,M,N/A,1,0,3,Business Analyst,01/17,10/18,Database Administrator,08/17,06/20,Data Analyst,10/17,09/21,5.46,0
143,University 167,3.65,Post-Doc,Clarkeville,M,1,1,0,0,Business Analyst,05/20,11/23,QA Analyst,07/18,05/22,N/A,N/A,N/A,9.34,1
144,University 44,2.82,Post-Doc,Patelfurt,F,0,1,0,0,Data Analyst,05/22,03/26,N/A,N/A,N/A,N/A,N/A,N/A,8.04,0
145,University 177,3.73,Bachelors,Maytown,M,0,0,N/A,4,Developer,01/21,05/24,N/A,N/A,N/A,N/A,N/A,N/A,1.98,1
146,University 140,2.94,Bachelors,New Nicole,M,0,0,N/A,4,UX Designer,02/19,09/21,Database Administrator,08/17,06/18,Product Manager,11/17,07/21,2.22,0
147,University 143,3.55,Masters,North Barrymouth,M,N/A,0,0,0,Teaching Assistant,04/22,11/22,Data Scientist,04/22,06/24,N/A,N/A,N/A,4.11,1
148,University 62,3.91,Masters,North Melissa,M,0,0,1,0,Web Developer,01/19,07/20,Database Administrator,12/16,01/20,Web Developer,06/22,10/22,9.61,0
149,University 65,3.92,High School,Staceyberg,M,0,1,1,3,Web Developer,01/23,11/24,Front-end Developer,03/18,01/19,N/A,N/A,N/A,0.5,0
150,University 26,3.22,Some College,Evanshaven,F,0,0,1,0,Applications Developer,12/16,02/20,Software Engineer,09/21,05/24,System Analyst,09/16,02/20,6.75,0
151,University 108,3.36,Some College,Alexandrashire,F,N/A,0,N/A,3,Developer,05/20,08/23,N/A,N/A,N/A,N/A,N/A,N/A,9.97,1
152,University 43,3.44,Post-Doc,Leonardburgh,M,N/A,1,1,4,Teaching Assistant,08/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,2.15,0
153,University 4,3.97,Bachelors,Richardmouth,F,N/A,0,N/A,4,Web Developer,04/20,05/22,N/A,N/A,N/A,N/A,N/A,N/A,1.98,0
154,University 114,3.85,Some College,Port Alex,F,0,0,1,0,IT Manager,08/21,03/24,IT Manager,10/18,08/22,Applications Developer,06/17,05/21,1.81,0
155,University 196,2.95,Some College,Kristinside,M,N/A,1,1,0,Network Administrator,11/20,06/21,Research Assistant,06/17,06/20,QA Analyst,05/17,07/18,2.79,0
156,University 88,3.07,Bachelors,South Timothyton,N/A,1,0,0,3,Database Administrator,11/17,05/21,Teaching Assistant,07/21,10/22,Software Engineer,01/18,09/21,7.81,0
157,University 169,3.63,Phd,Ortegaland,F,1,0,0,3,Developer,11/21,07/22,Web Developer,06/16,04/19,Back-end Developer,03/17,11/19,3.89,0
158,University 107,3.8,High School,Gregorytown,N/A,N/A,0,1,4,Data Analyst,11/19,10/23,N/A,N/A,N/A,N/A,N/A,N/A,5.91,0
159,University 43,2.81,Post-Doc,West Ronald,N/A,1,1,1,3,Front-end Developer,09/19,02/23,Technical Support Specialist,05/22,01/23,UX Designer,08/17,01/20,9.78,0
160,University 158,3.17,Masters,New Clayton,F,N/A,1,1,0,Teaching Assistant,01/23,09/26,N/A,N/A,N/A,N/A,N/A,N/A,2.2,0
161,University 177,2.81,Phd,Jonathanborough,F,1,1,1,3,Data Scientist,02/20,08/22,Technical Support Specialist,07/17,07/18,System Analyst,12/18,12/21,2.43,0
162,University 106,3.95,Bachelors,Lake Gerald,N/A,N/A,0,0,3,Product Manager,11/16,03/19,Back-end Developer,10/20,12/21,N/A,N/A,N/A,8.99,0
163,University 18,3.76,High School,South Jessica,M,1,0,1,3,UX Designer,01/19,04/19,N/A,N/A,N/A,N/A,N/A,N/A,2.81,0
164,University 178,3.07,Some College,Morganside,F,1,0,0,3,Applications Developer,01/23,10/26,System Analyst,07/22,06/23,Teaching Assistant,09/18,07/20,8.92,0
165,University 164,2.82,Phd,New Ronald,F,0,1,1,0,UX Designer,10/20,02/24,Data Scientist,05/17,01/20,N/A,N/A,N/A,1.31,0
166,University 191,2.94,Post-Doc,Lake Nicholasmouth,F,N/A,1,1,3,Software Engineer,02/19,01/20,Data Analyst,10/20,01/21,N/A,N/A,N/A,7.88,0
167,University 62,3.81,Masters,North Bryanville,M,N/A,0,0,3,Full-stack Developer,04/17,01/18,Front-end Developer,10/19,08/23,Data Analyst,05/19,08/20,1.36,0
168,University 140,3.75,Post-Doc,North Mindy,M,N/A,1,1,4,Research Assistant,09/17,08/21,N/A,N/A,N/A,N/A,N/A,N/A,8.22,0
